X,Y,Z,VX,VY,VZ,D,Masa,RHO
3.47396708780886880E-003,-1.09503818852631912E-003,-1.29473900308002586E-004,985.72466189379224,1343.0750574208473,737.76291238386375,3.64476603534043091E-003,4.88081981476562441E-007,1.34496706292980429E-014
-1.40086137090191833E-004,-4.54785585892916299E-003,6.68093307402614216E-005,1693.0546703414579,108.10305120416717,-40.483648531255291,4.55050332667443838E-003,6.81828523060291933E-006,1.16728405528721219E-016
8.78262905691726682E-004,4.60535863354167489E-004,1.86795914273968128E-004,-534.34025519193142,803.61950707110395,294.53456366441151,1.00912423741524059E-003,2.73585615589183053E-004,9.09630397811801895E-014
-1.31540473849985204E-003,-5.10946254405791455E-003,1.60939132933651173E-004,1431.7611305734661,-109.34957066557465,215.06815077370291,5.27852238033600391E-003,2.14819422587518707E-004,9.08458133663965045E-017
-5.29268519606762946E-004,-2.93472551418904812E-003,1.25378026243203023E-004,1444.9432219813868,-429.42077429959829,-134.51128900660200,2.98470411581174119E-003,2.69498303634770064E-004,2.64885317097417642E-015
2.34755083751827815E-003,1.45883043082037085E-003,2.46546203809546057E-004,-481.80847931005650,1153.8224216251147,-83.536560044424931,2.77488129317872206E-003,2.43647595165636901E-004,1.01088562565391751E-015
6.47205462761378677E-004,6.67443867969579171E-005,3.73134583612225775E-004,623.71831645151747,-59.583501156617451,-81.631817031903651,7.50039426753381635E-004,3.80177644450085570E-004,6.96314281586037389E-014
-3.74155165366244673E-003,6.50960732440433948E-004,2.87387586249806951E-004,-504.88517337562246,-1621.1035703604693,246.77471596167055,3.80861527027003162E-003,1.10904759890340926E-004,7.45503959777177621E-016
1.12112547559428178E-003,6.00914315511899945E-004,1.46341796582503383E-004,-982.37124860432232,1467.1353671719676,97.535257544099522,1.28040472821707211E-003,1.96798061165938236E-004,2.06170734891915972E-014
7.11280195957584476E-004,2.11120840608493998E-004,1.56727338646419181E-004,136.69977078193665,87.553305847993556,359.19852949904288,7.58323799692378273E-004,3.29315828780858938E-004,8.03264369980290353E-014
7.34576713498181702E-005,-3.28639605484196042E-003,1.37171551677721035E-004,1433.3325785733564,-199.43548961314093,-64.396099574330265,3.29007767284461138E-003,3.71128791706372798E-004,2.47179251192567082E-015
-2.20364826013099953E-003,-1.35332065050420875E-003,3.50285053037802704E-004,433.71669040063512,-978.29483165141573,375.55318957046626,2.60964404772781470E-003,1.58593787109650086E-004,5.37736732969075996E-015
8.16315975862005644E-004,-2.05473935058761610E-004,1.13532841439995476E-004,867.87123039669211,268.95915780735322,-373.03397615169547,8.49400386461832200E-004,8.03075510783652887E-005,4.02321026905355429E-014
8.33014717328813079E-004,2.80395119744370521E-004,1.94528315149676177E-004,-360.18668461547310,712.37160601646724,-281.59370633979529,9.00208980102861389E-004,2.91365920777951796E-004,2.86311038821716138E-013
2.92889968827331855E-003,9.06270821921400144E-005,3.03056895051084362E-004,-141.18328598950984,1532.3627493245631,-504.65648331312553,2.94593111488239108E-003,1.79900419135909203E-004,4.40931728286001928E-015
-2.70905255079579915E-003,-1.07203804273810210E-003,1.55964756304556443E-004,38.545688701923304,-1406.6328297943039,166.14447232070330,2.91762853928667675E-003,7.88528553592766365E-005,3.58004982685358203E-015
-1.52333436799296346E-003,2.63830928880179989E-003,2.29994475354341793E-004,-1911.7087456077920,263.12577224296285,-66.959495765034220,3.05517936605690949E-003,2.05333634286148338E-005,2.89634087422047870E-015
7.19988125093781977E-004,-1.35350537714686237E-004,2.15465885668009036E-004,1107.4279319774134,-512.81964089135636,-151.16213981391223,7.63628323350053358E-004,1.69889571690451651E-004,4.49468944442746078E-014
2.81868663809691075E-003,-1.05311802799547104E-004,2.43444254100202165E-004,98.894235034252077,843.93420021066322,-146.57148207840805,2.83113935447362958E-003,4.26890916822774526E-006,4.38542169727070443E-015
1.03393211446699057E-003,-4.81568751201359399E-004,1.58554530438634816E-004,1456.6336716612122,1160.0732612048955,-220.62358836063154,1.15154835703171177E-003,1.48702936361535875E-004,9.73579730888185183E-015
2.98632620428937326E-003,-1.78040503698988738E-004,3.49272025109335644E-004,175.49134219449246,1063.2789484417365,433.13460384861048,3.01194846684114774E-003,6.82227022104912639E-005,4.38621150532185018E-015
3.38601285313983383E-003,1.10480757528090209E-003,-9.80726301232202941E-006,-874.31845555111863,1397.3498670618458,-256.15079018118104,3.56171012330229030E-003,4.45067005814179504E-006,4.80968446657175967E-016
